PROGRAM_LABEL,SUMLEVEL,PROGRAM,SUB_PROGRAM,NAME,CODE,TOTAL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJ,PCT_WELF_MAJ,PCT_OTHER_MAJ,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,FEDHSE,CBSA,PLACEFIPS,LATITUDE,LONGITUDE,STATE,PHA_TOTAL_UNITS,HA_SIZE
S8 NC/SR,9,5,A,CA Alameda County,06001,3783,94,3367,100,6,5,1.4,4658,314,956,13.5,9.8,3,7,59,20,10,7,4,89,20,99,90,2,6,67,8,47,6,11,2,11,6,81,19,72,22,2,41,7,,113,77,30,86,9,5,3,71,17,A,A,A,,,CA,,A
S236,9,6,A,CA Alameda County,06001,1397,93,1155,100,6,8,1.4,1644,344,552,14.2,10.0,7,10,53,15,15,16,5,77,21,97,86,4,6,61,8,15,8,8,3,16,7,74,12,71,33,1,34,4,,93,26,8,86,11,4,2,65,24,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Alameda County,06001,3055,93,2448,100,6,9,1.5,3561,292,680,12.5,8.7,7,12,55,17,9,8,8,83,19,99,92,3,8,63,10,43,6,12,4,15,7,75,11,74,29,7,31,7,,86,48,21,85,9,7,3,76,23,A,A,A,,,CA,,A
PH,9,2,A,CA Alameda County,06001,3816,84,3206,99,19,5,2.5,8129,390,592,16.6,6.5,8,17,30,14,26,4,1,10,22,92,77,9,42,76,44,21,56,15,2,49,20,26,2,94,66,0,18,7,3,74,90,54,23,26,50,18,84,25,A,A,A,,,CA,,A
VO,9,3,A,CA Alameda County,06001,,,17967,,7,4,2.5,44783,433,1179,16.5,6.6,7,14,33,15,27,15,9,42,20,90,76,8,38,77,40,33,64,21,2,49,25,22,2,83,59,0,17,7,27,112,94,87,24,40,34,16,71,16,A,99998,A,,,CA,,A
VO,9,3,A,CA Contra Costa County,06013,,,8958,,5,6,2.6,22992,482,1029,16.6,6.5,5,14,34,16,27,26,13,71,21,95,79,5,44,81,46,35,62,20,2,54,22,20,1,73,56,1,8,9,11,105,96,133,22,36,41,20,57,12,A,99998,A,,,CA,,A
PH,9,2,A,CA Contra Costa County,06013,1853,89,1653,99,7,14,2.0,3286,336,527,15.1,7.6,4,15,46,11,19,17,8,81,21,95,83,5,30,70,31,50,63,31,4,41,24,29,2,80,59,0,5,15,16,92,85,77,45,29,24,14,43,12,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA Contra Costa County,06013,1116,93,1016,98,4,4,1.4,1380,316,959,14.0,10.3,4,9,52,22,13,9,3,88,21,99,86,2,8,72,9,53,14,18,2,14,7,78,18,47,10,1,21,14,,101,72,28,84,13,3,3,42,10,A,A,A,,,CA,,A
S236,9,6,A,CA Contra Costa County,06013,606,93,461,94,6,12,2.4,1122,360,823,15.3,6.3,9,16,37,15,24,27,11,61,20,98,84,18,31,75,39,16,10,9,8,42,15,35,7,73,35,0,17,21,,76,74,72,34,31,35,12,71,17,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Contra Costa County,06013,2000,93,1741,100,6,11,2.0,3408,294,869,13.1,6.7,12,21,39,14,14,18,15,64,18,99,88,8,30,74,34,20,11,10,12,35,10,44,5,74,43,1,12,17,,70,78,40,52,27,22,7,69,17,A,A,A,,,CA,,A
